积极主动	工程职业道德
自主学习心态	自学能力
敬业精神	工程职业道德
创新精神	自学能力
团队合作能力	团队协作能力
沟通协	人际交往能力
数据分析能力	信息收集能力
计算机	专业或业务能力
Python	计算机与互联网应用能力
C/C++语言	计算机与互联网应用能力
代码开发	专业或业务能力
自学能力	自学能力
分析问题	分析能力
解决问题的能力	问题解决能力
沟通	人际交往能力
团队合作	团队协作能力
计算机科学	专业或业务能力
机器学习	专业或业务能力
人工智能	专业或业务能力
计算机	专业或业务能力
开发	专业或业务能力
自动化	专业或业务能力
性能	专业或业务能力
测试工具	专业或业务能力
自我驱动学习能力	自学能力
技术钻研能力	自学能力
沟通技巧	人际交往能力
责任心	工程职业道德
高执行力	实干与执行能力
团队合作	团队协作能力
学习能力	自学能力
计算机	专业或业务能力
项目管理经验	领导力
Java	计算机与互联网应用能力
统计分析	信息收集能力
分析解决问题能力	分析能力
学习能力	自学能力
沟通	人际交往能力
团队协作	团队协作能力
计划	分析能力
主动性思考	自学能力
技术能力	专业或业务能力
责任心	工程职业道德
团队合作精神	团队协作能力
抗压能力	情绪管理能力
思维严谨	分析能力
逻辑清晰	分析能力
分析问题	分析能力
抽象建模	分析能力
解决问题	问题解决能力
数据挖掘	专业或业务能力
机器学习	专业或业务能力
C++	计算机与互联网应用能力
Java	计算机与互联网应用能力
工程实现能力	计算机与互联网应用能力
正直	工程职业道德
乐观	工程职业道德
团队合作	团队协作能力
计算机	专业或业务能力
大数据处理	计算机与互联网应用能力
统计学基础	专业或业务能力
逻辑思维能力	分析能力
沟通能力	人际交往能力
团队合作精神	团队协作能力
自驱力	自学能力
独立工作能力	自学能力
java	专业或业务能力
编程能力	计算机与互联网应用能力
快速学习能力	自学能力
创业精神	自学能力
逻辑抽象	分析能力
独立分析	分析能力
解决问题的能力	问题解决能力
数据分析	信息收集能力
计算机	专业或业务能力
JAVA	计算机与互联网应用能力
python	计算机与互联网应用能力
工程开发能力	专业或业务能力
计算机理论基础	专业或业务能力
游戏安全	专业或业务能力
计算机	专业或业务能力
实战开发	专业或业务能力
JAV	计算机与互联网应用能力
团队协作能力	团队协作能力
独立	分析能力
财务税务	专业或业务能力
